Date,NYC.New.Positive,NYC.Total.Positive,NYC.New.Tested,NYC.Total.Tested,NYC.New.Hospitolized,NYC.Total.Hospitolized,NYC.New.Death,NYC.Total.Death,NYS.New.Positive,NYS.Total.Positive,NYS.New.Tested,NYS.Total.Tested,NYS.New.Hospitolized,NYS.Total.Hospitolized,NYS.New.Death,NYS.Total.Death
3/17/20,181,644,901,4000,,,,,750,1700,3023,10049,,,12,12
3/18/20,695,1339,2197,6197,,,,,682,2382,4548,14597,,,0,12
3/19/20,1130,2469,3337,9534,,,,,1770,4152,7687,22284,,,23,35
3/20/20,1939,4408,4852,14386,,,,,2950,7102,10143,32427,489,,9,44
3/21/20,1803,6211,5077,19463,,,,,3254,10356,13010,45437,823,,70,114
3/22/20,2834,9045,6926,26389,,,,,4812,15168,15964,61401,771,,0,114
3/23/20,3260,12305,6614,33003,,,,,5707,20875,16888,78289,916,,96,210
3/24/20,2599,14904,5387,38390,,,,,4790,25665,12981,91270,1085,,75,285
3/25/20,2952,17856,5686,44076,,,,,5146,30811,12209,103479,1795,,100,385
3/26/20,3537,21393,6955,51031,,,,,6447,37258,18625,122104,1811,,134,519
3/27/20,4005,25398,6923,57954,,,,,7377,44635,16272,138376,1722,,209,728
3/28/20,4368,29766,7948,65902,,,,,7683,52318,17558,155934,2241,,237,965
3/29/20,4002,33768,7202,73104,,,,,7195,59513,16426,172360,1883,,253,1218
3/30/20,3685,37453,6201,79305,,,,,6984,66497,14108,186468,2507,,332,1550
3/31/20,5686,43139,9882,89187,,,,,9298,75795,18718,205186,2844,,391,1941
4/1/20,4300,47439,7341,96528,,,,,7917,83712,15694,220880,2857,,432,2373
4/2/20,4370,51809,7513,104041,,,,,8669,92381,18085,238965,3424,,562,2935
4/3/20,5350,57159,9363,113404,,,,,10482,102863,21555,260520,3261,,630,3565
4/4/20,6147,63306,11248,124652,,,,,10841,113704,23101,283621,2822,,594,4159
4/5/20,4245,67551,7814,132466,,,,,8327,122031,18659,302280,2084,,599,4758
4/6/20,4630,72181,8133,140599,,,,,8658,130689,18531,320811,2555,,731,5489
4/7/20,4695,76876,8959,149558,,,,,8174,138863,19247,340058,3050,,779,6268
4/8/20,4927,81803,10572,160130,,,,,10453,149316,25095,365153,2870,,799,7067
